Asset Name – English,Asset Name – Arabic,Serial Number,Asset Category,Asset Sub Category,Manufacturer / Brand,Model,Manufacturer Year,Purchased From Store?,Asset Status,Purchase Date,Purchase Cost,Warranty Expiry Date,Asset Location,Notes – English,Notes – Arabic,@
DELL,,SN-2026-052,Storage,CPU,DELL,OPTIPLEX 7020,,,DAMAGED,,,,"Head Office 
Store ",,,
CyberPowerPC ,,SN-2026-053,Storage,CPU,CyberPowerPC ,C Series,,,DAMAGED,,,,"Head Office 
Store ",,,
Galaxy M31,,SN-2026-054,,Moblie Phone,Galaxy M31,SM-M315F/DSN,,,RESERVED,,,,Office and carries along,In Angel's use,,
SIM Card,,SN-2026-055,,Office SIM,Ooreedo,50167222-Phone No.,,,RESERVED,,,,Office and carries along,In Angel's use,,
SIM Card,,SN-2026-056,,Office SIM,Ooreedo,33491444-Phone No.,,,RESERVED,,,,Office and carries along,In Abdalla's use,,
SIM Card,,SN-2026-057,,Office SIM,Ooreedo,50267444-Phone No.,,,RESERVED,,,,Office and carries along,In Montassar's use,,
SIM Card,,SN-2026-058,,Office SIM,Ooreedo,50268444-Phone No.,,,RESERVED,,,,Office and carries along,In Nadeen's use,,
SIM Card,,SN-2026-059,,Office SIM,Ooreedo,55620689-Phone No.,,,RESERVED,,,,Office and carries along,In Dana's use,,
SIM Card,,SN-2026-060,,Office SIM,Ooreedo,66194561-Phone No.,,,RESERVED,,,,Office and carries along,In Thabet's use,,
Belkin,,SN-2026-061,,Multiport Adapter,Belkin,AVC006,,,AVAILABLE,,,,"Head Office 
Store ",,,
Micrsoft ,,SN-2026-062,,Surface Go 2,Microsoft,,,,AVAILABLE,,,,"Head Office 
Store ",,,
Razer Blade,,SN-2026-063,,Laptop,Razer Blade,,,,AVAILABLE,,,,"Head Office 
Store ",,,
Ipad ,,SN-2026-064,,Ipad,Apple,,,,RESERVED,,,,Office and carries along,In Dana's use,,
Oppo A3 Pro,,SN-2026-065,,Mobile Phone,Oppo A3 Pro,A3 Pro 5G,,,RESERVED,,,,Office and carries along,In Montassar's use,,
